"Error","Chunk","Fold","EmotionMeasure","SpecificEmotion","BodilyActivity","ConversationValence","OutputType"
0.314281731843948,"1","7","6emo","Sadness_Error","both","neg","observed"
0,"1","7","6emo","Surprise_Error","both","neg","observed"
1,"1","7","6emo","Anger_Accuracy","both","neg","observed"
1,"1","7","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","7","6emo","Fear_Accuracy","both","neg","observed"
0.638964831829071,"1","7","6emo","Happiness_Accuracy","both","neg","observed"
0.842724621295929,"1","7","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","7","6emo","Surprise_Accuracy","both","neg","observed"
1.26026606559753,"1","8","6emo","OverallError","both","neg","observed"
3.20142051757344e-10,"1","8","6emo","Anger_Error","both","neg","observed"
1.10594547408915e-10,"1","8","6emo","Disgust_Error","both","neg","observed"
0,"1","8","6emo","Fear_Error","both","neg","observed"
0.881721496582031,"1","8","6emo","Happiness_Error","both","neg","observed"
0.378544420003891,"1","8","6emo","Sadness_Error","both","neg","observed"
1.16415306214424e-11,"1","8","6emo","Surprise_Error","both","neg","observed"
1,"1","8","6emo","Anger_Accuracy","both","neg","observed"
1,"1","8","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","8","6emo","Fear_Accuracy","both","neg","observed"
0.628125011920929,"1","8","6emo","Happiness_Accuracy","both","neg","observed"
0.877490222454071,"1","8","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","8","6emo","Surprise_Accuracy","both","neg","observed"
1.05178534984589,"1","9","6emo","OverallError","both","neg","observed"
0,"1","9","6emo","Anger_Error","both","neg","observed"
0,"1","9","6emo","Disgust_Error","both","neg","observed"
0,"1","9","6emo","Fear_Error","both","neg","observed"
0.7650585770607,"1","9","6emo","Happiness_Error","both","neg","observed"
0.286726802587509,"1","9","6emo","Sadness_Error","both","neg","observed"
0,"1","9","6emo","Surprise_Error","both","neg","observed"
1,"1","9","6emo","Anger_Accuracy","both","neg","observed"
1,"1","9","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","9","6emo","Fear_Accuracy","both","neg","observed"
0.725244164466858,"1","9","6emo","Happiness_Accuracy","both","neg","observed"
0.83740234375,"1","9","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","9","6emo","Surprise_Accuracy","both","neg","observed"
1.19182896614075,"1","10","6emo","OverallError","both","neg","observed"
0,"1","10","6emo","Anger_Error","both","neg","observed"
0,"1","10","6emo","Disgust_Error","both","neg","observed"
0,"1","10","6emo","Fear_Error","both","neg","observed"
0.84565943479538,"1","10","6emo","Happiness_Error","both","neg","observed"
0.346169531345367,"1","10","6emo","Sadness_Error","both","neg","observed"
0,"1","10","6emo","Surprise_Error","both","neg","observed"
1,"1","10","6emo","Anger_Accuracy","both","neg","observed"
1,"1","10","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","10","6emo","Fear_Accuracy","both","neg","observed"
0.605322241783142,"1","10","6emo","Happiness_Accuracy","both","neg","observed"
0.836718738079071,"1","10","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","10","6emo","Surprise_Accuracy","both","neg","observed"
4.11594724655151,"1","1","6emo","OverallError","both","pos","observed"
0.647829592227936,"1","1","6emo","Anger_Error","both","pos","observed"
0.655350804328918,"1","1","6emo","Disgust_Error","both","pos","observed"
0,"1","1","6emo","Fear_Error","both","pos","observed"
0.71537446975708,"1","1","6emo","Happiness_Error","both","pos","observed"
0.626066982746124,"1","1","6emo","Sadness_Error","both","pos","observed"
1.47132575511932,"1","1","6emo","Surprise_Error","both","pos","observed"
0.827343761920929,"1","1","6emo","Anger_Accuracy","both","pos","observed"
0.827343761920929,"1","1","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","1","6emo","Fear_Accuracy","both","pos","observed"
0.675000011920929,"1","1","6emo","Happiness_Accuracy","both","pos","observed"
0.826953113079071,"1","1","6emo","Sadness_Accuracy","both","pos","observed"
0.690087914466858,"1","1","6emo","Surprise_Accuracy","both","pos","observed"
4.01915597915649,"1","2","6emo","OverallError","both","pos","observed"
0.734764516353607,"1","2","6emo","Anger_Error","both","pos","observed"
0.689908444881439,"1","2","6emo","Disgust_Error","both","pos","observed"
0,"1","2","6emo","Fear_Error","both","pos","observed"
0.804221749305725,"1","2","6emo","Happiness_Error","both","pos","observed"
0.695177674293518,"1","2","6emo","Sadness_Error","both","pos","observed"
1.09508347511292,"1","2","6emo","Surprise_Error","both","pos","observed"
