,Response.Self_Predicted,Response.Self_Actual
96,0.0,4.271875
97,0.0,7.843750000000001
98,0.0,5.77890625
99,0.0,4.0375
100,0.0,2.3171875
101,0.0,7.01875
102,0.0,7.8737499999999985
103,0.0,5.7109375
104,0.0,4.046875
105,0.0,2.28203125
106,0.0,7.514453125
107,0.0,7.9975
108,0.0,6.54296875
109,0.0,4.734765625
110,0.0,2.359375
111,0.0,3.4046875
112,0.0,4.6234375
113,0.0,2.0546875
114,0.0,7.0703125
115,0.0,4.0234375
116,0.0,4.684374999999999
117,0.0,8.0546875
118,0.0,1.0
119,0.0,6.973750000000001
120,0.0,3.4937500000000004
121,0.0,1.97875
122,0.0,3.0109375000000003
123,0.0,2.940625
124,0.0,4.271875
125,0.0,6.6390625
126,0.0,1.91875
127,0.0,3.10234375
128,0.0,3.89453125
129,0.0,5.016249999999999
130,0.0,3.3765625
131,0.0,2.940625
132,0.0,4.9375
133,0.0,1.7921874999999998
134,0.0,1.0
135,0.0,2.2046875
136,0.0,6.3828125
137,0.0,3.053125
138,0.0,1.05625
139,0.0,1.0
140,0.0,3.71875
141,0.0,6.973750000000001
142,0.0,2.1578125000000004
143,0.0,6.130000000000001
144,0.0,2.940625
145,0.0,2.7859375
146,0.0,2.0125
147,0.0,3.8125
148,0.0,3.1234375
149,0.0,6.0062500000000005
150,0.0,2.9875
151,0.0,4.6234375
152,0.0,7.76875
153,0.0,7.98625
154,0.0,7.9975
155,0.0,2.0546875
156,0.0,3.015625
157,0.0,3.4421875
158,0.0,2.9912499999999995
159,0.0,3.04375
160,0.0,8.5
161,0.0,3.04375
162,0.0,2.035
163,0.0,2.03359375
164,0.0,1.37265625
165,0.0,3.01796875
166,0.0,3.5171875
167,0.0,3.04375
168,0.0,2.359375
169,0.0,5.4578125
170,0.0,3.1825
171,0.0,5.706250000000001
172,0.0,1.0984375
173,0.0,1.0
174,0.0,2.940625
175,0.0,3.0109375000000003
176,0.0,1.0
177,0.0,6.973750000000001
178,0.0,8.06875
179,0.0,4.55078125
180,0.0,7.0975
181,0.0,3.01796875
182,0.0,4.140625
183,0.0,4.7546875
184,0.0,5.016249999999999
185,0.0,8.0078125
186,0.0,2.6500000000000004
187,0.0,3.7140625
188,0.0,2.096875
189,0.0,3.746875
190,0.0,2.9921875
191,0.0,1.84375
192,0.0,5.2375
193,0.0,3.4562500000000003
194,0.0,4.862500000000001
195,0.0,6.8725
196,0.0,1.0703125
197,0.0,1.5390624999999998
198,0.0,6.1328125
199,0.0,4.100781250000001
200,0.0,2.753125
201,0.0,3.8453125
202,0.0,8.9875
203,0.0,4.0703125
204,0.0,4.858750000000001
205,0.0,2.021875
206,0.0,3.953125
207,0.0,2.0125
208,0.0,4.979687500000001
209,0.0,1.1546875
210,0.0,1.07734375
211,0.0,7.89625
212,0.0,8.8328125
213,0.0,3.953125
214,0.0,4.686249999999999
215,0.0,2.1578125000000004
216,0.0,2.6453125
217,0.0,4.684374999999999
218,0.0,6.1328125
219,0.0,3.390625
220,0.0,3.10234375
221,0.0,7.8625
222,0.0,4.932812500000001
223,0.0,2.4859375
224,0.0,4.271875
225,0.0,2.3125
226,0.0,2.8421875
227,0.0,6.98359375
228,0.0,4.932812500000001
229,0.0,1.6
230,0.0,7.98625
231,0.0,3.2921875000000003
232,0.0,1.07734375
233,0.0,2.1343750000000004
234,0.0,3.10234375
235,0.0,6.99625
236,0.0,3.428125
237,0.0,2.040625
238,0.0,2.03359375
239,0.0,7.01875
240,0.0,1.72421875
241,0.0,3.01796875
242,0.0,3.2453125
243,0.0,3.296875
244,0.0,6.8725
245,0.0,4.28125
246,0.0,2.96875
247,0.0,1.4265625000000002
248,0.0,1.0
249,0.0,3.37
250,0.0,3.175
251,0.0,3.1515625000000003
252,0.0,1.0
253,0.0,2.6546875
254,0.0,2.98984375
255,0.0,2.04625
256,0.0,3.01796875
257,0.0,3.7328125
258,0.0,4.4828125
259,0.0,2.2609375
260,0.0,4.6234375
261,0.0,4.1640625
262,0.0,3.01375
263,0.0,3.01796875
264,0.0,1.7640625
265,0.0,1.938671875
266,0.0,4.046875
267,0.0,3.0484375
268,0.0,5.85390625
269,0.0,1.97734375
270,0.0,2.21875
271,0.0,5.04296875
272,0.0,2.035
273,0.0,1.7828125
274,0.0,3.053125
275,0.0,2.9921875
276,0.0,3.1515625000000003
277,0.0,5.005
278,0.0,3.2921875000000003
279,0.0,1.99140625
280,0.0,6.0296875
281,0.0,4.9
282,0.0,4.0234375
283,0.0,2.6546875
284,0.0,6.69296875
285,0.0,5.06125
286,0.0,1.0
287,0.0,3.87578125
288,0.0,2.7390625
289,0.0,3.746875
290,0.0,3.1515625000000003
291,0.0,1.0
292,0.0,3.00859375
293,0.0,2.340625
294,0.0,2.7906250000000004
295,0.0,4.862500000000001
296,0.0,3.1515625000000003
297,0.0,7.0140625
298,0.0,4.6234375
299,0.0,1.028125
300,0.0,4.0234375
301,0.0,2.565625
302,0.0,1.99140625
303,0.0,3.925
304,0.0,5.98375
305,0.0,7.271875
306,0.0,4.046875
307,0.0,2.0828125
308,0.0,1.0225
309,0.0,7.9975
310,0.0,3.025
311,0.0,1.890625
312,0.0,4.3984375
313,0.0,1.0
314,0.0,2.0546875
